WS2M,PRECTOTCORR,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,WS10M,ALLSKY_SFC_SW_DWN,TS,T2M,WS50M,PS,QV2M,ALLSKY_SFC_UV_INDEX
2.4,13.17,13.59,51.3,3.85,0.68,11.93,12.37,6.08,100.51,8.48,0.16
2.36,23.63,17.01,51.95,3.89,0.86,11.11,11.72,5.98,100.53,8.36,0.2
1.61,0.27,50.47,55.61,2.41,2.81,8.72,9.56,3.3,101.33,6.59,0.43
1.59,0.14,46.89,53.3,2.47,2.63,7.76,8.15,3.44,101.39,5.74,0.42
1.8,11.64,21.77,54.66,2.73,1.11,9.55,9.66,4.12,101.56,6.96,0.24
1.31,0.66,23.62,52.79,2.2,1.22,11.36,11.98,3.54,101.52,8.24,0.25
1.26,0.42,29.12,53.61,2.06,1.54,10.52,10.85,3.27,101.39,7.81,0.33
0.9,0.16,31.46,54.3,1.49,1.64,10.62,11.37,2.34,101.04,8,0.34
1.8,0.01,39.88,57.25,2.81,2.2,10.16,10.48,4.09,100.91,7.14,0.37
1.74,0,50.46,55.71,2.86,2.85,9.02,9.48,4.14,101.37,6.29,0.44
1.95,0.16,52.49,56.4,3.06,2.96,8.94,8.97,4.28,101.5,6.29,0.47
1.36,0.01,46.95,57.89,2.1,2.59,9.13,9.35,2.88,101.48,6.35,0.45
1.84,0.01,51.68,58.48,2.79,2.9,8.3,8.35,3.97,100.86,5.8,0.45
2.62,0.06,56.53,59.95,3.84,3.18,8.05,7.37,5.3,100.62,5.37,0.47
2.52,0,58.36,59.32,3.92,3.35,6.45,6.2,5.78,100.84,4.33,0.41
2.33,0,57.27,58.15,3.52,3.31,5.73,6.23,4.91,101.12,4.09,0.35
2.97,0.06,53.98,58.4,4.52,3.07,6.98,7.06,6.13,101.21,5.49,0.34
1.97,0,59.57,60.47,2.95,3.38,6.44,6.87,3.97,101.49,5,0.34
2.38,0.01,59.41,61.3,3.5,3.35,6.99,7.27,4.67,101.23,5.25,0.41
2.11,0.01,58.84,60.91,3.1,3.23,7.37,7.3,4.28,101.33,5.43,0.44
3.07,1.7,31.48,61.65,4.7,1.63,8.26,8.19,6.65,100.99,6.23,0.3
3,0.06,58.89,64.16,4.52,3.29,6.65,5.9,6.3,101.21,4.52,0.45
1.78,0,63.78,64.9,2.67,3.58,6.01,6.36,3.7,101.73,4.33,0.45
1.05,0,61.35,64.09,1.48,3.46,6.55,7.91,1.86,101.87,4.7,0.48
1.46,0.9,44.65,64.72,2.16,2.38,7.71,8.41,3.1,101.03,6.16,0.47
2.59,7.97,25.32,63,4.01,1.28,8.72,8.56,5.82,100.4,6.41,0.29
2.05,0.55,59.07,67.79,3.02,3.32,6.48,5.51,4.27,100.47,4.09,0.47
1.76,4.35,46.04,67.01,2.49,2.53,5.29,4.24,3.27,100.56,4.27,0.35
2.27,0.36,63.32,66.95,3.33,3.62,4.86,4.05,4.38,101.07,3.78,0.43
1.8,0.02,67.84,68.73,2.61,3.85,5.12,5.51,3.47,101.49,3.6,0.5
1.24,0.36,65.91,68.58,1.73,3.69,5.7,6.05,2.14,101.72,4.09,0.52
1.31,0.13,66.77,70,1.98,3.68,7.37,7.18,2.72,101.56,5.43,0.51
1.38,0,67.8,70.98,2.08,3.79,8.23,7.38,2.97,101.32,5.68,0.52
1.43,0.04,70.4,72.08,2.11,3.94,8.48,8.63,2.76,101.61,5.74,0.61
1.67,0,70.94,71.72,2.59,4.09,7.47,8.16,3.54,101.47,5.43,0.66
1.27,0.02,56.34,72.74,1.84,3.14,7.33,8.36,2.43,101.36,5.55,0.65
1.39,1.44,61.53,74.92,2.1,3.33,8.51,8.79,3.05,101.25,6.59,0.73
2.84,8.48,27.99,69.51,4.59,1.39,10.22,10.61,7,101.15,7.51,0.38
2.2,0.04,74.65,76.56,3.51,4.18,7.92,7.87,5.26,101.79,5.19,0.7
2,0.8,77.1,77.84,3.33,4.32,7.97,8.6,4.99,101.74,4.94,0.77
1.76,0,76.73,77.82,2.74,4.34,9.03,10.4,3.84,101.95,5.25,0.8
1.29,0,68.41,75.6,2.07,3.85,8.29,10.06,2.92,101.69,5.8,0.77
1.53,0.01,71.01,76.99,2.46,3.92,10,11.34,3.63,100.99,6.47,0.77
1.23,0.99,28.29,72.62,1.93,1.39,9.12,9.5,2.83,100.7,6.9,0.41
1.13,0.05,50.44,76.62,1.83,2.66,10.26,10.44,2.73,100.73,6.77,0.52
1.78,1.11,56.1,79.23,2.7,2.98,9.43,9.57,3.79,101.01,6.35,0.52
2.55,11.5,42.52,79.87,3.87,2.19,9.34,9.63,5.48,100.53,6.47,0.47
2.33,2.32,69.33,82.22,3.42,3.77,8.9,8.27,4.67,100.31,5.86,0.64
1.7,3.24,47.73,83.15,2.48,2.45,9.36,9.36,3.53,100.75,6.23,0.54
2.62,15.07,27.7,82.17,4.16,1.33,10.76,10.98,6.18,101.1,7.81,0.41
1.59,1.36,64.53,83.73,2.82,3.36,11.62,11.93,4.7,101.57,8.18,0.9
1.17,0.36,79.27,85.34,2.09,4.31,11.87,12.94,3.16,101.5,7.93,1.05
2.04,0.24,70.83,84.96,3.38,3.87,11.56,11.77,5.14,100.94,7.87,1.04
2.73,0.54,69.57,91.31,4.11,3.73,10.21,10.01,5.7,100.98,6.59,0.99
1.85,0.02,89.71,92.17,2.86,4.97,10.24,10.15,4.02,101.19,6.53,1.12
1.77,0.01,91,91.53,2.93,5.05,10.77,12.04,4.32,101.27,6.53,1.15
1.94,0,81.3,89.66,3.24,4.49,11.23,11.95,4.79,101.16,6.53,1.12
1.76,0,82.97,87.95,3.21,4.59,11.87,13.05,5.17,100.52,6.84,1.13
